"column","record_1","record_2"
"norm_Precipitation9","0.4283","0.4283"
"norm_Precipitation10","0.4391","0.4391"
"norm_Precipitation11","0.2929","0.2929"
"norm_Precipitation12","0.4564","0.4564"
"norm_SMAP5","0.3212","0.3212"
"norm_SMAP6","0.4996","0.4996"
"norm_SMAP7","0.3254","0.3254"
"norm_SMAP8","0.3264","0.3264"
"norm_SMAP9","0.3329","0.3329"
"norm_SMAP10","0.601","0.601"
"norm_SMAP11","0.527","0.527"
"norm_SMAP12","0.4649","0.4649"
"norm_log_NTL5","0.5506","0.5506"
"norm_log_NTL6","0.4552","0.4552"
"norm_log_NTL7","0.4867","0.4867"
"norm_log_NTL8","0.6847","0.6847"
"norm_log_NTL9","0.5399","0.5399"
"norm_log_NTL10","0.4723","0.4723"
"norm_log_NTL11","0.6214","0.6214"
"norm_log_NTL12","0.5392","0.5392"
"norm_VHI5","0.4208","0.4208"
"norm_VHI6","0.4145","0.4145"
"norm_VHI7","0.5463","0.5463"
"norm_VHI8","0.4017","0.4017"
"norm_VHI9","0.3102","0.3102"
"norm_VHI10","0.4744","0.4744"
"norm_VHI11","0.492","0.492"
"norm_VHI12","0.2787","0.2787"
"norm_Rainfall_Deficit5","0.1142","0.1142"
"norm_Rainfall_Deficit6","0.3076","0.3076"
"norm_Rainfall_Deficit7","0.3472","0.3472"
"norm_Rainfall_Deficit8","0.4415","0.4415"
"norm_Rainfall_Deficit9","0.4152","0.4152"
"norm_Rainfall_Deficit10","0.2175","0.2175"
"norm_Rainfall_Deficit11","0.2081","0.2081"
"norm_Rainfall_Deficit12","0.3294","0.3294"
"norm_Heat_Stress_Days5","0.5092","0.5092"
"norm_Heat_Stress_Days6","0.4786","0.4786"
"norm_Heat_Stress_Days7","0.4352","0.4352"
"norm_Heat_Stress_Days8","0.4504","0.4504"
"norm_Heat_Stress_Days9","0.4638","0.4638"
"norm_Heat_Stress_Days10","0.2568","0.2568"
"norm_Heat_Stress_Days11","0.5599","0.5599"
"norm_Heat_Stress_Days12","0.3981","0.3981"
"norm_SAI_NDVI5","0.6215","0.6215"
"norm_SAI_NDVI6","0.4951","0.4951"
"norm_SAI_NDVI7","0.5289","0.5289"
"norm_SAI_NDVI8","0.6248","0.6248"
"norm_SAI_NDVI9","0.4872","0.4872"
"norm_SAI_NDVI10","0.4927","0.4927"
"norm_SAI_NDVI11","0.6149","0.6149"
"norm_SAI_NDVI12","0.6358","0.6358"
"norm_SAI_NDWI5","0.3467","0.3467"
"norm_SAI_NDWI6","0.2536","0.2536"
"norm_SAI_NDWI7","0.3261","0.3261"
"norm_SAI_NDWI8","0.3472","0.3472"
"norm_SAI_NDWI9","0.3043","0.3043"
"norm_SAI_NDWI10","0.2936","0.2936"
"norm_SAI_NDWI11","0.2772","0.2772"
"norm_SAI_NDWI12","0.2346","0.2346"
